Date : 2024-11-19 10:47:00
Directory : c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION
Total : 213 files,  10099 codes, 355 comments, 1954 blanks, all 12408 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         46 |      4,016 |         36 |        412 |      4,464 |
| Python     |        132 |      2,479 |        143 |        849 |      3,471 |
| JavaScript |         31 |      1,849 |        153 |        355 |      2,357 |
| CSS        |          4 |      1,755 |         23 |        338 |      2,116 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                              |        213 |     10,099 |        355 |      1,954 |     12,408 |
| . (Files)                                                                                                                                                      |          1 |         17 |          1 |          5 |         23 |
| APPLICATION                                                                                                                                                    |          5 |        144 |         19 |         60 |        223 |
| apps                                                                                                                                                           |        172 |      6,334 |        159 |      1,196 |      7,689 |
| apps\activityLog                                                                                                                                               |         12 |        194 |          4 |         51 |        249 |
| apps\activityLog (Files)                                                                                                                                       |          8 |         77 |          2 |         26 |        105 |
| apps\activityLog\migrations                                                                                                                                    |          3 |         35 |          2 |         15 |         52 |
| apps\activityLog\templates                                                                                                                                     |          1 |         82 |          0 |         10 |         92 |
| apps\categories                                                                                                                                                |         15 |        446 |         18 |        110 |        574 |
| apps\categories (Files)                                                                                                                                        |          7 |        182 |         14 |         53 |        249 |
| apps\categories\migrations                                                                                                                                     |          5 |         82 |          4 |         26 |        112 |
| apps\categories\templates                                                                                                                                      |          3 |        182 |          0 |         31 |        213 |
| apps\categories\templates (Files)                                                                                                                              |          1 |        145 |          0 |         25 |        170 |
| apps\categories\templates\partials                                                                                                                             |          2 |         37 |          0 |          6 |         43 |
| apps\common                                                                                                                                                    |          2 |         36 |          1 |          8 |         45 |
| apps\core                                                                                                                                                      |         14 |      1,183 |         30 |        102 |      1,315 |
| apps\core (Files)                                                                                                                                              |          7 |         70 |          4 |         34 |        108 |
| apps\core\migrations                                                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| apps\core\templates                                                                                                                                            |          6 |      1,113 |         26 |         67 |      1,206 |
| apps\core\templates (Files)                                                                                                                                    |          5 |      1,044 |         26 |         61 |      1,131 |
| apps\core\templates\partials                                                                                                                                   |          1 |         69 |          0 |          6 |         75 |
| apps\equipments                                                                                                                                                |         19 |        689 |          9 |        124 |        822 |
| apps\equipments (Files)                                                                                                                                        |          7 |        147 |          3 |         47 |        197 |
| apps\equipments\migrations                                                                                                                                     |          4 |         58 |          3 |         20 |         81 |
| apps\equipments\templates                                                                                                                                      |          8 |        484 |          3 |         57 |        544 |
| apps\equipments\templates (Files)                                                                                                                              |          2 |        348 |          0 |         49 |        397 |
| apps\equipments\templates\partials                                                                                                                             |          6 |        136 |          3 |          8 |        147 |
| apps\errors                                                                                                                                                    |         13 |        130 |          4 |         28 |        162 |
| apps\errors (Files)                                                                                                                                            |          7 |         15 |          4 |         12 |         31 |
| apps\errors\migrations                                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| apps\errors\templates                                                                                                                                          |          5 |        115 |          0 |         15 |        130 |
| apps\files                                                                                                                                                     |          9 |        258 |         21 |         72 |        351 |
| apps\files (Files)                                                                                                                                             |          7 |        220 |         21 |         67 |        308 |
| apps\files\migrations                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| apps\files\templates                                                                                                                                           |          1 |         38 |          0 |          4 |         42 |
| apps\inserts                                                                                                                                                   |         14 |        259 |         16 |         73 |        348 |
| apps\inserts (Files)                                                                                                                                           |          7 |        115 |         10 |         35 |        160 |
| apps\inserts\migrations                                                                                                                                        |          7 |        144 |          6 |         38 |        188 |
| apps\logIn                                                                                                                                                     |         10 |        135 |          8 |         50 |        193 |
| apps\logIn (Files)                                                                                                                                             |          8 |         89 |          7 |         30 |        126 |
| apps\logIn\migrations                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| apps\logIn\templates                                                                                                                                           |          1 |         46 |          1 |         19 |         66 |
| apps\logIn\templates\registration                                                                                                                              |          1 |         46 |          1 |         19 |         66 |
| apps\partsInventory                                                                                                                                            |         16 |        793 |          8 |        157 |        958 |
| apps\partsInventory (Files)                                                                                                                                    |          7 |        161 |          3 |         67 |        231 |
| apps\partsInventory\migrations                                                                                                                                 |          3 |         68 |          2 |         14 |         84 |
| apps\partsInventory\templates                                                                                                                                  |          6 |        564 |          3 |         76 |        643 |
| apps\partsInventory\templates (Files)                                                                                                                          |          2 |        487 |          3 |         67 |        557 |
| apps\partsInventory\templates\partials                                                                                                                         |          4 |         77 |          0 |          9 |         86 |
| apps\references                                                                                                                                                |         25 |      1,310 |         30 |        230 |      1,570 |
